"id";"menu_name";"menu_path";"menu_parent";"status";"is_deleted";"created_id";"created_time";"updated_id";"updated_time";"icon"
1;"测试";"/测试";0;0;1;6;"2024/2/29 20:25";6;"2024/3/1 15:11";""
2;"测试123";"/测试123";0;1;1;6;"2024/3/1 12:49";6;"2024/3/1 15:11";""
3;"测试333";"/测试333";1;0;1;6;"2024/3/1 12:49";6;"2024/3/1 15:11";""
4;"测试666";"/测试666";3;1;1;6;"2024/3/1 13:58";6;"2024/3/1 15:6";""
5;"123";"123";3;1;0;6;"2024/3/1 15:8";6;"2024/3/1 15:10";""
6;"123";"123";1;0;1;6;"2024/3/1 15:9";6;"2024/3/1 15:11";""
7;"1234";"1234";6;0;1;6;"2024/3/1 15:10";6;"2024/3/1 15:11";""
8;"12344";"12344";7;0;1;6;"2024/3/1 15:11";6;"2024/3/1 15:11";""
9;"系统管理";"";0;0;0;6;"2024/3/1 15:14";6;"2024/3/4 14:19";"carbon:application-web"
10;"菜单管理";"/system/menu";9;0;0;6;"2024/3/1 15:15";0;"";""
11;"角色管理";"/system/role";9;0;0;6;"2024/3/1 15:16";0;"";""
12;"用户管理";"/system/user";9;0;0;6;"2024/3/1 15:16";0;"";""
13;"标签管理";"/system/tabs";9;0;0;6;"2024/3/1 15:16";6;"2024/3/1 15:22";""
14;"文章管理";"";0;0;0;6;"2024/3/1 17:55";6;"2024/3/4 14:21";"pixelarticons:calendar-text"
15;"文章审核";"/article/audit";14;0;0;6;"2024/3/1 18:5";0;"";""
16;"权限管理";"";0;0;0;6;"2024/3/4 10:42";6;"2024/3/4 14:22";"icon-park-twotone:folder-lock-one"
17;"菜单权限";"/permissions/menuPermissions";16;0;0;6;"2024/3/4 10:43";0;"";""
